image_path,description,label,label_idx
dataset\train\images\00b1f292-23dd-44d4-aad3-c1ffb6a6ad5a___RS_LB-4479-_JPG.rf.18644a8865cf5ec68a751728fdbc565f.jpg,Коричнево-чёрные пятна с расплывчатыми границами,Late_blight,1
dataset\train\images\00b1f292-23dd-44d4-aad3-c1ffb6a6ad5a___RS_LB-4479-_JPG.rf.4b2d348c070a10080e105d5b6f407ee4.jpg,Поражения с бледно-зелёной зоной вокруг пятен,Late_blight,1
dataset\train\images\00b1f292-23dd-44d4-aad3-c1ffb6a6ad5a___RS_LB-4479-_JPG.rf.b4835a1b66b6d0fe55ad9679d4f1cf87.jpg,Листья с тёмными зонами и пушистым белым покрытием,Late_blight,1
dataset\train\images\00ddc106-692e-4c67-b2e8-569c924caf49___Rutg__Bact_S-1228-_JPG.rf.1c952e9737f3e291c897384f036d5eb8.jpg,Чёрные точки с влажным видом на листьях,Bacterial_spot,0
dataset\train\images\00ddc106-692e-4c67-b2e8-569c924caf49___Rutg__Bact_S-1228-_JPG.rf.595f13820893c444c8c958bc0c826fd3.jpg,Небольшие тёмные поражения с жирной поверхностью,Bacterial_spot,0
dataset\train\images\00ddc106-692e-4c67-b2e8-569c924caf49___Rutg__Bact_S-1228-_JPG.rf.cb421333a0395fe3b9bf83889eb38537.jpg,"Маленькие водянистые пятна, темнеющие со временем",Bacterial_spot,0
dataset\train\images\00e6ad4a-5a62-48d7-ac68-9c0b8ec87f5f___Rut__Bact_S-1472-_JPG.rf.62511d8f4e5694be4dfabd3ee6c1b022.jpg,"Маленькие водянистые пятна, темнеющие со временем",Bacterial_spot,0
dataset\train\images\00e6ad4a-5a62-48d7-ac68-9c0b8ec87f5f___Rut__Bact_S-1472-_JPG.rf.8190b2a966b03f6d1de70ae40c693372.jpg,Чёрные точки с влажным видом на листьях,Bacterial_spot,0
dataset\train\images\00e6ad4a-5a62-48d7-ac68-9c0b8ec87f5f___Rut__Bact_S-1472-_JPG.rf.dee6c31db01ea141d56bea2680344615.jpg,Мелкие чёрные пятна с водянистой текстурой и неровными краями,Bacterial_spot,0
dataset\train\images\00f87dfc-bf6c-481e-9022-bfb98224d4b7___Rutg__Bact_S-1965-_JPG.rf.2ddf506bc02c6ba99abd8b32d73ed721.jpg,Мелкие чёрные пятна с водянистой текстурой и неровными краями,Bacterial_spot,0
dataset\train\images\00f87dfc-bf6c-481e-9022-bfb98224d4b7___Rutg__Bact_S-1965-_JPG.rf.bc783d1f31966ac241348d0939601f6f.jpg,Небольшие тёмные поражения с жирной поверхностью,Bacterial_spot,0
dataset\train\images\00f87dfc-bf6c-481e-9022-bfb98224d4b7___Rutg__Bact_S-1965-_JPG.rf.ed08c6147ddecdf17a2bed14f332d510.jpg,Мелкие чёрные пятна с водянистой текстурой и неровными краями,Bacterial_spot,0
